,License Id,Account Number,Legal Name,Doing Business As Name,Address,License Code,License Description,Latitude,Longitude,Business Type,FIPS,Tract,Block
92956,1352746,261596,ADAMS WELLS INC.,HAIFA CAFE,318 W ADAMS ST,1006,Retail Food Establishment,41.879472799999995,-87.63580748,grocery store,170318391002001,839100,2001
88836,1540217,272047,"SWEEP THE LEG JOHNNY, LLC",ORANGE ON HARRISON,75 W HARRISON ST 1ST,1006,Retail Food Establishment,41.87441658,-87.63027416,grocery store,170318390001000,839000,1000
91932,2012018,299710,"HIGHLAND PARK CVS, L.L.C.",CVS/PHARMACY #8910,205 N COLUMBUS DR 1,1474,Package Goods,41.88607017,-87.62053659,grocery store,170313201003008,320100,3008
23451,1890660,223194,MIDNIGHT MIDLAND LLC,WHISKEY BLUE,172 W ADAMS ST,1781,Tobacco,41.87950365,-87.63296974,restaurant,170318391001095,839100,1095
38253,2453620,17716,"SCARLETT'S G.P., INC.",PINK MONKEY / NEW YORK STRIP,750 S CLINTON ST 2,1006,Retail Food Establishment,41.87204627,-87.64102471,grocery store,170318419001064,841900,1064
80841,1859323,210667,CHICAGO HILTON LLC,CHICAGO HILTON & TOWERS,720 S MICHIGAN AVE,1006,Retail Food Establishment,41.87279887,-87.62433781,grocery store,170313206002007,320600,2007
71659,2024668,265919,"MOTO RESTAURANT, INC.",MOTO RESTAURANT,945 W FULTON MARKET,1006,Retail Food Establishment,41.88663777,-87.65158723,grocery store,170318330001018,833000,1018
26976,2024139,82054,"MET PARTNERS, INC.",THE MINE MUSIC HALL,1431 W LAKE ST  MAIN,1470,Tavern,41.88528666,-87.66343138,restaurant,170318330002030,833000,2030
71418,1538412,262430,"NICK QUICK MART, INC.","NICKY, NEWSTAND",203 N LA SALLE ST  G12,1006,Retail Food Establishment,41.88582205,-87.63230374,grocery store,170318391001024,839100,1024
19821,2046534,315809,"SALEM ENTERPRISES, INC.",7-ELEVEN,180 N FRANKLIN ST,1781,Tobacco,41.88533037,-87.63554786,restaurant,170318391001032,839100,1032
94197,2412589,399844,VPC GREEKTOWN PIZZA LLC,GIORDANO'S GREEKTOWN,815 W VAN BUREN ST 1,1006,Retail Food Establishment,41.87655166,-87.6478697,grocery store,170318419001012,841900,1012
48354,1295314,209999,ICM COMPONENTS LLC,METROMART NEWSSTAND,203 N LA SALLE ST  G12,1006,Retail Food Establishment,41.88582205,-87.63230374,grocery store,170318391001024,839100,1024
25367,1894915,147,WALGREEN CO.,WALGREENS #10558,250 S WACKER DR 1,1781,Tobacco,41.87813818,-87.637065,restaurant,170318391002004,839100,2004
23557,1262644,62856,KANTILAL R PITHADIA,KANTI TOBACCO & GIFT INC,225 W WASHINGTON ST  1ST,1781,Tobacco,41.88309916,-87.63460036,restaurant,170318391001055,839100,1055
79300,2024481,251212,CANAL FOODS INC.,DUNKIN DONUTS BASKIN ROBBINS,500 W ROOSEVELT RD  8,1006,Retail Food Establishment,41.86736269,-87.6392932,grocery store,170318419002024,841900,2024
87006,2386130,396907,"SOCIALE CHICAGO CAFE PRESS CHICAGO, LLC",SOCIALE AND CAFE PRESS,800 S CLARK ST 1ST,1006,Retail Food Establishment,41.872164399999996,-87.63075578,grocery store,170318390002000,839000,2000
25072,1594993,291057,"VANMARI, INC.",GATEWAY NEWSTAND,525 W VAN BUREN ST,1781,Tobacco,41.87664684,-87.64069512,restaurant,170318419001003,841900,1003
85652,1803288,147,WALGREEN CO.,WALGREENS #10558,250 S WACKER DR 1,1006,Retail Food Establishment,41.87813818,-87.637065,grocery store,170318391002004,839100,2004
86671,1764101,300860,HANPRISE CORP.,NEW ORLEANS KITCHEN,100 W RANDOLPH ST  C15,1006,Retail Food Establishment,41.88458627,-87.63101045,grocery store,170318391001035,839100,1035
76925,2449355,296059,FRIENDS OF WASHBURNE CULINARY INSTITUTE,FRIENDS OF WASHBURNE CULINARY INSTITUTE,226 W JACKSON BLVD 1 LOBBY,1006,Retail Food Establishment,41.87822032,-87.63452388,grocery store,170318391002008,839100,2008
75605,1740135,307560,WACKER MEX LLC,TACO FRESCO,29 N WACKER DR,1006,Retail Food Establishment,41.88270036,-87.63663756,grocery store,170318391001054,839100,1054
93978,1753300,63394,PEI GEN ZHAO,ORIENTAL EXPRESS,233 E WACKER DR,1006,Retail Food Establishment,41.88779017,-87.62127871,grocery store,170313201002018,320100,2018
86870,1690015,86300,WABASH FOOD & LIQUOR INC,WABASH FOOD & LIQUOR INC,234 S WABASH AVE,1006,Retail Food Establishment,41.87867435,-87.6262423,grocery store,170313204001020,320400,1020
85286,1590077,267447,THE WORKS SOUTH LOOP INC.,THE WORKS SOUTH LOOP INC.,212 W VAN BUREN ST,1006,Retail Food Establishment,41.87694977,-87.6341037,grocery store,170318391002012,839100,2012
95400,1204082,28298,SALADS ON THE GO INC,SALADS ON THE GO INC,310 S RACINE AVE  1,1007,Wholesale Food Establishment,41.877430700000005,-87.65715799,grocery store,170318331002008,833100,2008
22500,1482305,16787,"CHICAGO CONCESSIONS, INC.",CHICAGO CONCESSIONS @ CIBC THEATRE,18 W MONROE ST  BALCO,1006,Retail Food Establishment,41.88084814,-87.62843558,grocery store,170318391001079,839100,1079
6560,1361241,17413,STAR FOODS INC,STAR FOODS INC,1000 S LOOMIS ST 1ST,1006,Retail Food Establishment,41.86929756,-87.66178699,grocery store,170312831001000,283100,1000
90088,1897859,314944,"FRANCONELLO'S RESTAURANT, LLC",FRANCONELLO'S RESTAURANT,1301 S HALSTED ST 1,1477,Outdoor Patio,41.865360700000004,-87.64671741,restaurant,170318419002041,841900,2041
23238,1815258,296406,"THIRD RAIL TAVERN, INC.",THIRD RAIL TAVERN,1133 W MADISON ST,1781,Tobacco,41.88153436,-87.65565022,restaurant,170318331001012,833100,1012
94698,1590003,266295,"SUSHI LOOP, INC.",SUSHI LOOP,810 W JACKSON BLVD,1006,Retail Food Establishment,41.87804963,-87.64774148,grocery store,170318331001023,833100,1023
17998,1810652,63559,JAYESH PATEL & MANU PATEL,111 CONCESSION SHOP,111 W WASHINGTON ST  1,1781,Tobacco,41.88310096,-87.63126322,restaurant,170318391001064,839100,1064
21831,1524363,18163,KARAD DRUG CO INC,KARAD CONVENIENCE,200 W MADISON ST  1ST,1006,Retail Food Establishment,41.88205499,-87.6338999,grocery store,170318391001061,839100,1061
92435,2143545,17025,SUN & MOON COMPANY,SUN & MOON COMPANY,1035 W LAKE ST,1006,Retail Food Establishment,41.88545124,-87.65344846,grocery store,170318330001041,833000,1041
82006,2081387,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #14433,946 W RANDOLPH ST 1,1006,Retail Food Establishment,41.88444504,-87.65161225,grocery store,170318330001045,833000,1045
79501,1862517,272047,"SWEEP THE LEG JOHNNY, LLC",ORANGE ON HARRISON,75 W HARRISON ST 1ST,1006,Retail Food Establishment,41.87441658,-87.63027416,grocery store,170318390001000,839000,1000
89448,1417845,64059,LMB INC,SBARRO ITALIAN EATERY,233 S WACKER DR 1ST,1006,Retail Food Establishment,41.87856015,-87.63652387,grocery store,170318391002006,839100,2006
19890,1377402,254215,R SEDRAK CORPORATION,7-ELEVEN,29 E MADISON ST 1ST,1781,Tobacco,41.88196533,-87.62679322,restaurant,170313204001010,320400,1010
93369,1690041,86463,"CANAL STREET HOTEL, LCC.",HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST  FLOOR,1006,Retail Food Establishment,41.88310863,-87.62794877,grocery store,170318391001066,839100,1066
89189,2263629,287445,"THE NOODLE SHOP, CO.-COLORADO, INC.",NOODLES & COMPANY,30 N LA SALLE ST,1477,Outdoor Patio,41.88269467,-87.63253143,restaurant,170318391001056,839100,1056
73306,1805221,2826,"FABBRI SAUSAGE MFG. CO., INC.",FABBRI SAUSAGE MFG CO,166 N ABERDEEN ST,1006,Retail Food Establishment,41.88502582,-87.65460592,grocery store,170318330002057,833000,2057
89759,2306269,216507,ADVANCE FRESH CONCEPTS,AFC Sushi @ Macy's #1,111 N STATE ST,1006,Retail Food Establishment,41.88347312,-87.62772975,grocery store,170313201001016,320100,1016
79176,1956361,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #279,202 N MICHIGAN AVE  1ST,1006,Retail Food Establishment,41.885849,-87.62466256,grocery store,170313201002014,320100,2014
96268,1480823,4152,CHICAGO YACHT CLUB,CHICAGO YACHT CLUB,400 E MONROE DR,1006,Retail Food Establishment,41.88102972,-87.61728157,grocery store,170313201001003,320100,1003
77961,1606968,63300,"SODEXO MANAGEMENT, INC.",NORTHERN TRUST BANK II,801 S CANAL ST 1ST,1006,Retail Food Establishment,41.87199613,-87.63920429,grocery store,170318419002001,841900,2001
89305,1895756,30539,G M L TRADING,G M L TRADING,1146  -01148 W RANDOLPH ST 1ST,1007,Wholesale Food Establishment,41.88436179999999,-87.65621416,grocery store,170318330002060,833000,2060
48443,1550586,9290,MRS FIELDS ORGINAL COOKIES INC,MRS FIELDS COOKIES #541,32 E RANDOLPH ST,1006,Retail Food Establishment,41.8846042,-87.62675949,grocery store,170313201002025,320100,2025
84905,2052315,288928,"OSAKA EXPRESS, INC.",OSAKA EXPRESS,1311 W TAYLOR ST 1ST,1006,Retail Food Establishment,41.8692618,-87.65965077,grocery store,170312832001007,283200,1007
81893,1350795,87208,"BAR LOUIE DEARBORN, INC.",BAR LOUIE,47 W POLK ST  FRST/,1477,Outdoor Patio,41.87216696,-87.6295768,restaurant,170318390003002,839000,3002
90228,1760808,281926,ROBERT MORRIS UNIVERSITY ILLINOIS,ROBERT MORRIS COLLEGE,401 S STATE ST  800,1006,Retail Food Establishment,41.87686736,-87.6275033,grocery store,170313204001044,320400,1044
91275,1427444,10253,THEATRE LUNAN INC.,ARBY'S ROAST BEEF,195 N DEARBORN ST,1006,Retail Food Establishment,41.88563517,-87.6293469,grocery store,170318391001037,839100,1037
67535,2481306,351919,"FFT@BP 30SW, LLC",FFT CAFE,30 S WACKER DR 8 & 9,1006,Retail Food Establishment,41.88140721,-87.63715509,grocery store,170318391001074,839100,1074
93513,1685374,19287,JACK MCNAMARA PRODUCE INC,MAC KELLYS GREENS & THINGS,123 W MADISON ST  STREE,1006,Retail Food Establishment,41.88186094,-87.63156385,grocery store,170318391001069,839100,1069
78722,1581853,8970,"COMPASS GROUP USA, INC.",Chartwells @ DePaul University,1 E JACKSON BLVD 11,1481,Caterer's Liquor License,41.87811016,-87.62753455,restaurant,170313204001035,320400,1035
80056,2340495,86298,"WHOLE FOODS MARKET GROUP, INC.",WHOLE FOODS MARKET,1101 S CANAL ST 1 107,1474,Package Goods,41.86888971,-87.63909893,grocery store,170318419002074,841900,2074
70299,1915447,306327,ECD-GREAT STREET LLC,THE WIT,201 N STATE ST 1-27,1006,Retail Food Establishment,41.8857782,-87.62779374,grocery store,170313201002023,320100,2023
91127,2024810,275882,"RANDOLPH FOOD ENTERPRISES, INC.",S & S Restaurant,823 W RANDOLPH ST,1006,Retail Food Establishment,41.88428084,-87.64845424,grocery store,170318330001049,833000,1049
18925,1347056,32101,"MARSHALL FIELD'S CHICAGO, INC.",MACY'S,111 N STATE ST,1781,Tobacco,41.88347312,-87.62772975,restaurant,170313201001016,320100,1016
72706,1808553,32101,"MARSHALL FIELD'S CHICAGO, INC.",MACY'S,111 N STATE ST,1474,Package Goods,41.88347312,-87.62772975,grocery store,170313201001016,320100,1016
89742,2187915,328992,THE LIFEWAY KEFIR SHOP LLC,LIFEWAY KEFIR SHOP,108 N STATE ST LOWER LEVEL,1006,Retail Food Establishment,41.88342264,-87.62802165,grocery store,170318391001067,839100,1067
8865,2145623,336362,INTERCULTURAL MONTESSORI FOREIGN LANGUAGE IMMERSION SCHOOL,INTERCULTURAL MONTESSORI LANGUAGE SCHOOL,114 S RACINE AVE 1ST,1584,Day Care Center 2 - 6 Years,41.87984161,-87.65723163,school,170318331003028,833100,3028
37052,1580839,4116,UNIVERSITY CLUB OF CHICAGO,UNIVERSITY CLUB OF CHICAGO,76 E MONROE ST,1006,Retail Food Establishment,41.88092404,-87.62493420000001,grocery store,170313204001008,320400,1008
41827,2586364,295457,"HASHBROWNS, LLC",HASHBROWNS,731 W MAXWELL ST,1006,Retail Food Establishment,41.86468206,-87.64628815,grocery store,170318419002040,841900,2040
72978,1807769,24829,MALONEY CUNNINGHAM & DE VIC CO,MALONEY CUNNINGHAM & DE VIC,1114 W FULTON MARKET  1ST,1007,Wholesale Food Establishment,41.88679082,-87.65517872,grocery store,170318330002045,833000,2045
23423,1975629,255036,"TRAVEL TRADERS HOTEL STORES, INC.",WINDY CITY GIFTS,720 S MICHIGAN AVE,1781,Tobacco,41.87279887,-87.62433781,restaurant,170313206002007,320600,2007
9477,1486183,86522,"ARAMARK SERVICES, INC",ARAMARK at Boeing,100 N RIVERSIDE PLZ 36,1006,Retail Food Establishment,41.88326585,-87.63876082,grocery store,170312801002025,280100,2025
93045,1233765,10850,"WISHBONE RESTAURANT, INC.",WISHBONE RESTAURANT,1001 W WASHINGTON BLVD,1006,Retail Food Establishment,41.88295238,-87.65212524,grocery store,170318330001063,833000,1063
72280,1405439,2805,COMBINED ENTERPRISES INC,BIG HERMS HOT DOG & DELI,409 W WASHINGTON ST 1ST,1006,Retail Food Establishment,41.88307596,-87.6384126,grocery store,170312801002026,280100,2026
78929,1328737,252407,"AMRUT-LILA ENTERPRISES, L.L.C.",GATEWAY NEWSTAND,312 S STATE ST,1006,Retail Food Establishment,41.87784339,-87.62781527,grocery store,170318391001100,839100,1100
77975,1418947,85586,SHEDD AQUARIUM SOCIETY,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR,1006,Retail Food Establishment,41.86748423,-87.61915038,grocery store,170313301004012,330100,4012
19222,1419328,86300,WABASH FOOD & LIQUOR INC,WABASH FOOD & LIQUOR INC,234 S WABASH AVE,1781,Tobacco,41.87867435,-87.6262423,restaurant,170313204001020,320400,1020
41210,2447608,8970,"COMPASS GROUP USA, INC.",EUREST DINING SERVICES,50 S LA SALLE ST 5TH FLOOR 5,1006,Retail Food Establishment,41.8807051,-87.63247631,grocery store,170318391001085,839100,1085
67786,1174119,6306,# 2 KARAD DRUG CO INC,KARAD CONVENIENCE,333 W WACKER DR 1ST,1006,Retail Food Establishment,41.88602541,-87.6362977,grocery store,170318391001030,839100,1030
91372,1482375,17112,WOLVERINE TRADING LP,WOLVERINE TRADING LP,175 W JACKSON BLVD # 200,1006,Retail Food Establishment,41.87801449,-87.63318903,grocery store,170318391001107,839100,1107
11548,1532397,66022,"COSI, INC.",COSI,233 N MICHIGAN AVE,1006,Retail Food Establishment,41.88656737,-87.62438467,grocery store,170313201002030,320100,2030
67847,1643367,287826,J. BARBARY CORPORATION,WHITE HEN#0-8102-5,899 S PLYMOUTH CT,1006,Retail Food Establishment,41.87057299,-87.62844791,grocery store,170318390003007,839000,3007
82361,1445049,269737,INSPIRED MEXICAN CUISINE LLC,BAJA FRESH,180 N MICHIGAN AVE,1006,Retail Food Establishment,41.88525377,-87.62463473,grocery store,170313201002028,320100,2028
69414,1505418,63300,"SODEXO MANAGEMENT, INC.",FEDERAL RESERVE BANK,230 S LA SALLE ST 5TH,1006,Retail Food Establishment,41.87853829,-87.63241426,grocery store,170318391001099,839100,1099
95292,1642827,285562,"DAGWOOD'S  SANDWICH FACTORY, LLC","DAGWOOD'S SANDWICH FACTORY, LLC",162 N FRANKLIN ST 1ST,1006,Retail Food Establishment,41.88487225,-87.63553722,grocery store,170318391001045,839100,1045
94084,2306694,298924,"PANDA EXPRESS, INC.","PANDA EXPRESS, INC #1102",29 E MADISON ST  191,1006,Retail Food Establishment,41.88196533,-87.62679322,grocery store,170313204001010,320400,1010
69591,2363593,394463,"BEHIND THE SCENES CHICAGO, LLC",PARAMOUNT EVENTS,121 W WACKER DR 1ST 1RS,1006,Retail Food Establishment,41.88670659,-87.63162997,grocery store,170318391001017,839100,1017
91682,1349386,64059,LMB INC,SBARRO ITALIAN EATERY,233 S WACKER DR 1ST,1006,Retail Food Establishment,41.87856015,-87.63652387,grocery store,170318391002006,839100,2006
21462,1291599,63316,RUPAK CORPORATION,RUPAK CORPORATION,200 W JACKSON BLVD 1ST,1781,Tobacco,41.878227700000004,-87.63380479,restaurant,170318391002008,839100,2008
74769,1925399,290791,"THE LOFT RESTAURANT AND LOUNGE OF CHICAGO, LLC",OLE HARDWOOD,1315 S WABASH AVE 1,1006,Retail Food Establishment,41.8652975,-87.62563701,grocery store,170313301001008,330100,1008
72817,2047414,333176,"PRUDENTIAL PIZZA, INC.",GIORDANO'S,130 E RANDOLPH ST 1,1006,Retail Food Establishment,41.88458837,-87.62327256,grocery store,170313201002034,320100,2034
84250,2196249,298020,"BLM-CHICAGO, LLC",HARD ROCK HOTEL,224-230 N MICHIGAN AVE,1006,Retail Food Establishment,41.88637482,-87.62467544,grocery store,170313201002014,320100,2014
25689,1606846,62856,KANTILAL R PITHADIA,KANTI TOBACCO & GIFT INC,225 W WASHINGTON ST  1ST,1781,Tobacco,41.88309916,-87.63460036,restaurant,170318391001055,839100,1055
93129,1653678,17658,"CARIBOU COFFEE COMPANY, INC.",CARIBOU COFFEE COMPANY,55 W MONROE ST,1006,Retail Food Establishment,41.88059896,-87.62990739,grocery store,170318391001088,839100,1088
69860,1865605,298727,CBC RESTAURANT CORP.,CORNER BAKERY CAFE,188 W WASHINGTON ST,1006,Retail Food Establishment,41.88331838,-87.6335146,grocery store,170318391001057,839100,1057
89126,1545075,267891,FAZAL DEVELOPMENT NETWORK INC,Subway 21976,300 N MICHIGAN AVE,1006,Retail Food Establishment,41.8868758,-87.62468519,grocery store,170313201002015,320100,2015
96093,1609110,201601,"SWEET TRADITIONS, LLC",KRISPY KREME DOUGHNUTS,175 W JACKSON BLVD,1006,Retail Food Establishment,41.87801449,-87.63318903,grocery store,170318391001107,839100,1107
89598,2391067,372092,"Glazed and Infused, LLC","GLAZED AND INFUSED, LLC",222 N LA SALLE ST 1 115,1006,Retail Food Establishment,41.8863516,-87.63261395,grocery store,170318391001016,839100,1016
70479,2136553,320943,"SHREEJI CHICAGO, INC.",GATEWAY NEWSTAND,33 N DEARBORN ST 1,1006,Retail Food Establishment,41.88280623,-87.62928149999999,grocery store,170318391001066,839100,1066
67941,1825013,7036,"STEAK AND ALE OF ILLINOIS, INC./WILLIAM J. HOFFMAN, RECEIVER",BENNIGAN'S #1420,225 N MICHIGAN AVE # 1ST,1006,Retail Food Establishment,41.88637741,-87.62438167,grocery store,170313201002030,320100,2030
33063,2555217,401416,BACCI PIZZA FRANKLIN INC.,BACCI PIZZA FRANKLIN,162 N FRANKLIN ST  100,1006,Retail Food Establishment,41.88487225,-87.63553722,grocery store,170318391001045,839100,1045
73486,1744637,4398,"LASTRADA, INC.","LASTRADA, INC.",151 N MICHIGAN AVE,1006,Retail Food Establishment,41.88454011,-87.62430852,grocery store,170313201002029,320100,2029
9917,2509876,376930,EAST COAST PANTRY CHICAGO INC.,EAST COAST PANTRY CHICAGO,611 S WELLS ST 1,1474,Package Goods,41.87424299,-87.63347653,grocery store,170318390001005,839000,1005
70920,1755636,209217,"BAR LOUIE TAYLOR,  INC.",BAR LOUIE TAYLOR,1321 W TAYLOR ST,1477,Outdoor Patio,41.86925517,-87.66006174,restaurant,170312832001007,283200,1007
19914,2016311,312629,"RSTN, INC.","RSTN, INC.",20 N CLARK ST,1781,Tobacco,41.88243401,-87.63103701,restaurant,170318391001063,839100,1063
10664,1481713,8970,"COMPASS GROUP USA, INC.",COMPASS GROUP,425 S WABASH AVE  1,1006,Retail Food Establishment,41.87635524,-87.6258955,grocery store,170313204001032,320400,1032
96372,2175000,306327,ECD-GREAT STREET LLC,THE WIT,201 N STATE ST 1-27,1006,Retail Food Establishment,41.8857782,-87.62779374,grocery store,170313201002023,320100,2023
7470,2489055,2815,"GREYHOUND LINES, INC.",GREYHOUND LINES INC,630 W HARRISON ST 1ST,1006,Retail Food Establishment,41.87446342,-87.64381593,grocery store,170318419001052,841900,1052
90214,2182533,343364,"MINA 4 ENTERPRISE GROUP INC.,",7-ELEVEN #33496C,535 S STATE ST 1ST,1006,Retail Food Establishment,41.87501057,-87.62747463,grocery store,170313204001043,320400,1043
66916,1350375,85754,GIORDANOS ENTERPRISES INC,GIORDANO'S RESTAURANT & PIZZ,815 W VAN BUREN ST,1006,Retail Food Establishment,41.87655166,-87.6478697,grocery store,170318419001012,841900,1012
76494,1755528,207993,ABP CORPORATION,AU BON PAIN,122 S MICHIGAN AVE,1006,Retail Food Establishment,41.88026337,-87.62450498,grocery store,170313204001013,320400,1013
20715,2515725,379905,RADHA NEWSTAND INC.,GATEWAY NEWSTAND,525 W VAN BUREN ST 1ST 106,1781,Tobacco,41.87664684,-87.64069512,restaurant,170318419001003,841900,1003
78936,2065469,357976,"LONDON CALLING, INC.",LUCKY'S SANDWICH COMPANY,717 W MAXWELL ST 1,1006,Retail Food Establishment,41.86468822,-87.64574327,grocery store,170318419002040,841900,2040
96493,2421907,360948,"WILDBERRY PANCAKES & CAFE III INC.,",WILDBERRY PANCAKES & CAFE,130 E RANDOLPH ST 1ST CL3,1006,Retail Food Establishment,41.88458837,-87.62327256,grocery store,170313201002034,320100,2034
95441,2351999,273684,"FEELINGS GIFT SHOP, INC.",FEELINGS GIFT SHOP,17 E MONROE ST 1ST,1006,Retail Food Establishment,41.88066458,-87.62708936,grocery store,170313204001011,320400,1011
20789,1691405,251726,PARSHV ENTERPRISE INC.,METROMART,135 S LA SALLE ST,1781,Tobacco,41.88007991,-87.63216419,restaurant,170318391001083,839100,1083
93700,1815028,292688,"JUNIOR'S SPORTS LOUNGE, INC.",JUNIOR'S SPORTS LOUNGE,724 W MAXWELL ST,1006,Retail Food Establishment,41.86490383,-87.64605899,grocery store,170318419002041,841900,2041
5485,2500309,393943,B RESTAURANT LLC,FORMENTO'S NONNA'S,917-923 W RANDOLPH ST,1006,Retail Food Establishment,41.88424445,-87.65052712,grocery store,170318330001047,833000,1047
91355,1858935,206530,KERRY NO. 5 LLC.,PAZZO'S,311 S WACKER DR LL,1006,Retail Food Establishment,41.87779165,-87.63652434,grocery store,170318391002014,839100,2014
86415,1240981,65268,"LAKEFRONT OPERATIONS, INC.",BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,1006,Retail Food Establishment,41.86044993,-87.61748819,grocery store,170313301004017,330100,4017
83127,1897288,277684,BRIDGFORD MARKETING COMPANY,BRIDGFORD MARKETING,170 N GREEN ST,1007,Wholesale Food Establishment,41.88516052,-87.64877322,grocery store,170318330001025,833000,1025
38287,2453621,17716,"SCARLETT'S G.P., INC.",PINK MONKEY / NEW YORK STRIP,750 S CLINTON ST 2,1781,Tobacco,41.87204627,-87.64102471,restaurant,170318419001064,841900,1064
12379,2513198,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #13319,200 W MADISON ST,1006,Retail Food Establishment,41.88205499,-87.6338999,grocery store,170318391001061,839100,1061
85504,1342087,8107,"HDS Retail North America, LP",RELAY #4032,222 S RIVERSIDE PLZ CONCO,1006,Retail Food Establishment,41.87858156,-87.63857867,grocery store,170312819001001,281900,1001
95366,2294327,386361,IZA INC,DUNKIN DONUTS & BASKIN ROBBINS,200 E RANDOLPH ST LL16,1006,Retail Food Establishment,41.88463208,-87.62224799,grocery store,170313201002032,320100,2032
87381,2333013,390382,BAR TAKITO LLC,BAR TAKITO,952 W LAKE ST,1006,Retail Food Establishment,41.88569922,-87.65184383,grocery store,170318330001034,833000,1034
72702,1644613,293942,JENNDAVID ENTERPRISES CHICAGO INC,PIZZA HUT EXPRESS,225 S CANAL ST,1006,Retail Food Establishment,41.87853128,-87.63942746,grocery store,170312819001001,281900,1001
23431,2343456,52064,KANTILAL M PATEL,RIVERSIDE NEWS STAND,120 S RIVERSIDE PLZ  1ST,1781,Tobacco,41.87992331,-87.63880254,restaurant,170312819003005,281900,3005
74626,1174752,8724,FONTANO'S SUB INC,FONTANO'S SUB,333 S FRANKLIN ST,1006,Retail Food Establishment,41.87730519,-87.63504206,grocery store,170318391002013,839100,2013
23030,1588919,229836,NISHO INC,TREAT SHOP,111 W JACKSON BLVD,1781,Tobacco,41.87803443,-87.63117141,restaurant,170318391001105,839100,1105
44646,1437631,220477,THE HONEY TREE OF WABASH AVE,THE HONEY TREE OF WABASH AVE,201 N CLARK ST  204,1586,Day Care Center Under 2 and 2 - 6 Years,41.88577122,-87.63082982,school,170318391001023,839100,1023
83092,2381429,63414,STARBUCKS CORPORATION,STARBUCKS # 2483,1430 W TAYLOR ST,1006,Retail Food Establishment,41.86943095,-87.66281807,grocery store,170312831002001,283100,2001
29610,2526999,380880,ERICK 18 INC.,BOMBON CAKE GALLERY AND DESIGN,36 S ASHLAND AVE  102,1006,Retail Food Establishment,41.88031878,-87.66691311,grocery store,170318381001006,838100,1006
70825,1640080,268603,"LIFESTAR HOTELS, LLC",HARD ROCK HOTEL,230 N MICHIGAN AVE,1471,Late Hour,41.88651729,-87.62467769,restaurant,170313201002014,320100,2014
67480,1744363,3478,GEORGE DIAMOND STEAK HOUSE INC,GEORGE DIAMOND STEAK HOUSE INC,630 S WABASH AVE,1006,Retail Food Establishment,41.87374514,-87.62612746,grocery store,170313206002003,320600,2003
23721,2366667,255036,"TRAVEL TRADERS HOTEL STORES, INC.",TRAVEL TRADERS #534,151 E WACKER DR,1781,Tobacco,41.88799989,-87.62256513,restaurant,170313201002019,320100,2019
82331,2018195,8970,"COMPASS GROUP USA, INC.","Eurest Dining Services @ Drinker, Biddle & Reath LLP",191 N WACKER DR 9,1006,Retail Food Establishment,41.8855345,-87.63667609,grocery store,170318391001032,839100,1032
82128,1492390,32101,"MARSHALL FIELD'S CHICAGO, INC.",MACY'S,111 N STATE ST,1474,Package Goods,41.88347312,-87.62772975,grocery store,170313201001016,320100,1016
84419,2381398,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #282,555 S DEARBORN ST  1ST,1006,Retail Food Establishment,41.87466288,-87.62906529,grocery store,170318391002046,839100,2046
21228,2022612,147,WALGREEN CO.,WALGREENS #10558,250 S WACKER DR 1,1781,Tobacco,41.87813818,-87.637065,restaurant,170318391002004,839100,2004
85122,1521585,3841,MARQUETTE INN #8 INC,MARQUETTE INN,308 W ADAMS ST,1006,Retail Food Establishment,41.87947633,-87.63553246,grocery store,170318391002001,839100,2001
87372,1919922,320318,LMG ENTERPRISE INC.,7-ELEVEN  #33705,216 W JACKSON BLVD 1,1006,Retail Food Establishment,41.87822324,-87.63424738,grocery store,170318391002008,839100,2008
67059,2452879,147,WALGREEN CO.,WALGREENS #15196,151 N STATE ST 1ST,1006,Retail Food Establishment,41.88452436,-87.62776455,grocery store,170313201002025,320100,2025
90251,2251593,362348,THE CUPCAKE COUNTER LLC,THE CUPCAKE COUNTER LLC,229 W MADISON ST,1006,Retail Food Establishment,41.88182969,-87.63467801,grocery store,170318391001071,839100,1071
89195,2351307,49738,ROOSEVELT UNIVERSITY,Roosevelt University Coffee Shop,430 S MICHIGAN AVE 1ST FLOOR,1006,Retail Food Establishment,41.87624813,-87.62441919,grocery store,170313204001032,320400,1032
18640,2018323,19327,SHRUTI FOOD CORPORATION,PLAZA NEWS & SNACKS,9 S DEARBORN ST # 1ST,1781,Tobacco,41.88181564,-87.62924955,restaurant,170318391001078,839100,1078
89730,1816255,314890,"SALSERIA GRILL & CANTINA, INC.",SALSERIA GRILL & CANTINA,233 S WACKER DR  2,1477,Outdoor Patio,41.87856015,-87.63652387,restaurant,170318391002006,839100,2006
38227,2574016,399923,VPC PRUDENTIAL PIZZA LLC,GIORDANO'S OF PRUDENTIAL PLAZA,130 E RANDOLPH ST,1006,Retail Food Establishment,41.88458837,-87.62327256,grocery store,170313201002034,320100,2034
